Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,Turkey,TUR,70.58475111,83.30437613,99.49731299,101.49302,103.486322,105.2705768,106.6614165,107.5962527,108.4698933,109.3193197,110.1508569,..
Population density (people per sq. km of land area),EN.POP.DNST,Turkmenistan,TKM,..,9.723005554,11.83175154,12.05105441,12.2708297,12.48815994,12.70057881,12.90631796,13.10497308,13.30078522,13.49531845,..
Population density (people per sq. km of land area),EN.POP.DNST,Turks and Caicos Islands,TCA,12.32526316,19.73052632,35.36210526,36.82631579,38.46105263,40.25894737,41.94105263,43.67052632,45.34736842,46.60631579,47.48842105,..
Population density (people per sq. km of land area),EN.POP.DNST,Tuvalu,TUV,306.0666667,321.2666667,363.9333333,363.3,362.5666667,361.7333333,360.9333333,362.1666667,365.2,368.9666667,373.4666667,..
Population density (people per sq. km of land area),EN.POP.DNST,Uganda,UGA,88.01676593,120.2176918,175.9104827,181.211545,186.9008378,193.2390734,200.1151257,207.0386744,214.1885099,221.447292,228.6743367,..
Population density (people per sq. km of land area),EN.POP.DNST,Ukraine,UKR,..,84.88219556,78.52248843,78.15110739,77.94720434,77.68936629,77.38846021,77.0150466,76.60718502,76.16853469,75.58311184,..
Population density (people per sq. km of land area),EN.POP.DNST,United Arab Emirates,ARE,26.75515348,46.11845959,123.2307378,124.4149676,125.5547592,126.6440862,127.6865108,128.6985215,129.7051112,130.7700507,131.8663053,..
Population density (people per sq. km of land area),EN.POP.DNST,United Kingdom,GBR,236.6287191,243.4279089,265.0695366,267.0288844,269.1531393,271.2007316,273.049473,274.7089819,276.2630802,277.2753854,277.0483198,..
Population density (people per sq. km of land area),EN.POP.DNST,United States,USA,27.25451361,30.79730133,34.55181319,34.8061343,35.06332868,35.31834714,35.54249482,35.73009646,35.89317567,36.24098511,36.29783633,..
Population density (people per sq. km of land area),EN.POP.DNST,Uruguay,URY,17.80946178,18.81055879,19.31882071,19.378711,19.44245229,19.50500514,19.55319392,19.58085933,19.58866987,19.592538,19.57639127,..
Population density (people per sq. km of land area),EN.POP.DNST,Uzbekistan,UZB,..,56.54215361,69.39872278,70.57934,71.03699501,72.28449968,73.51221549,74.80043669,76.22283256,77.68535119,79.23490819,..
